Transaction ID,Date of Travel,Company,City,KM Travelled,Price Charged,Cost of Trip
10000088,42372,Pink Cab,LOS ANGELES CA,41.2,983.99,420.24
10000089,42376,Pink Cab,LOS ANGELES CA,8.72,164.48,92.432
10000090,42379,Pink Cab,LOS ANGELES CA,32.96,615.43,346.08
10000091,42372,Pink Cab,LOS ANGELES CA,23,471.18,243.8
10000092,42371,Pink Cab,LOS ANGELES CA,37.76,851.25,438.016
10000093,42372,Pink Cab,LOS ANGELES CA,37.95,870.29,413.655
10000094,42378,Pink Cab,LOS ANGELES CA,26.73,488.92,310.068
10000095,42378,Pink Cab,LOS ANGELES CA,4.32,74.9,44.064
10000096,42372,Pink Cab,LOS ANGELES CA,29.12,669.35,337.792
10000097,42375,Pink Cab,LOS ANGELES CA,35.52,744.45,372.96
10000098,42372,Pink Cab,LOS ANGELES CA,12.48,245.87,149.76
10000099,42379,Pink Cab,LOS ANGELES CA,32.64,572.15,342.72
10000100,42379,Pink Cab,LOS ANGELES CA,28.8,603.61,325.44
10000101,42374,Pink Cab,LOS ANGELES CA,7.84,135.93,85.456
10000102,42372,Pink Cab,LOS ANGELES CA,37.05,772.84,422.37
10000103,42375,Pink Cab,LOS ANGELES CA,25.53,447.51,270.618
10000104,42372,Pink Cab,LOS ANGELES CA,30,628.64,348
10000105,42377,Pink Cab,LOS ANGELES CA,29.12,571.48,346.528
10000106,42381,Pink Cab,LOS ANGELES CA,29.12,554.83,343.616
10000107,42377,Pink Cab,LOS ANGELES CA,27.6,494.32,311.88
10000108,42372,Pink Cab,LOS ANGELES CA,9.36,203.31,96.408
10000109,42372,Pink Cab,LOS ANGELES CA,5.1,120.26,52.53
10000110,42377,Pink Cab,LOS ANGELES CA,42.84,791.75,462.672
10000111,42374,Pink Cab,LOS ANGELES CA,34.68,720.24,398.82
10000112,42375,Pink Cab,LOS ANGELES CA,29.29,613.88,316.332
10000113,42371,Pink Cab,LOS ANGELES CA,12.32,265.25,137.984
10000114,42377,Pink Cab,LOS ANGELES CA,4.28,78.29,50.504
10000115,42378,Pink Cab,LOS ANGELES CA,28.75,525.87,327.75
10000116,42373,Pink Cab,LOS ANGELES CA,2.4,42.07,25.44
10000117,42372,Pink Cab,LOS ANGELES CA,42.84,1022.59,436.968
10000118,42377,Pink Cab,LOS ANGELES CA,9.04,180.85,107.576
10000119,42371,Pink Cab,LOS ANGELES CA,22.31,463.5,243.179
10000120,42379,Pink Cab,LOS ANGELES CA,32.01,591.6,323.301
10000121,42377,Pink Cab,LOS ANGELES CA,10.2,211.83,110.16
10000122,42376,Pink Cab,LOS ANGELES CA,22.8,438.76,269.04
10000123,42377,Pink Cab,LOS ANGELES CA,28.42,590.23,312.62
10000124,42371,Pink Cab,LOS ANGELES CA,37.1,803.58,408.1
10000125,42372,Pink Cab,LOS ANGELES CA,36.3,859.7,388.41
10000126,42381,Pink Cab,LOS ANGELES CA,24.15,446.33,280.14
10000127,42371,Pink Cab,LOS ANGELES CA,38,850.87,425.6
10000128,42375,Pink Cab,LOS ANGELES CA,14.17,253.79,150.202
10000129,42378,Pink Cab,LOS ANGELES CA,13.92,270.53,167.04
10000130,42380,Pink Cab,LOS ANGELES CA,33.28,678.48,369.408
10000131,42371,Pink Cab,LOS ANGELES CA,12,251.46,122.4
10000132,42380,Pink Cab,LOS ANGELES CA,8.73,163.01,92.538
10000133,42373,Pink Cab,LOS ANGELES CA,27.84,482.7,297.888
10000134,42379,Pink Cab,MIAMI FL,17.85,275.57,180.285
10000135,42371,Pink Cab,MIAMI FL,6.42,105.42,64.842
10000136,42377,Pink Cab,MIAMI FL,37.76,535.83,426.688
10000137,42377,Pink Cab,NASHVILLE TN,36.36,550.39,418.14
10000138,42379,Pink Cab,NASHVILLE TN,20.4,282.08,206.04
10000139,42377,Pink Cab,NEW YORK NY,17.85,242.9,198.135
10000140,42378,Pink Cab,NEW YORK NY,25.3,407.21,255.53
10000141,42375,Pink Cab,NEW YORK NY,16.32,236.41,186.048
10000142,42373,Pink Cab,NEW YORK NY,12.43,194.61,144.188
10000143,42378,Pink Cab,NEW YORK NY,29.7,434.57,350.46
10000144,42381,Pink Cab,NEW YORK NY,19,305.81,214.7
10000145,42371,Pink Cab,NEW YORK NY,2.1,37.18,21.42
10000146,42372,Pink Cab,NEW YORK NY,16.52,290.52,168.504
10000147,42377,Pink Cab,NEW YORK NY,27.3,439.4,294.84
10000148,42375,Pink Cab,NEW YORK NY,24.7,325.27,276.64
10000149,42371,Pink Cab,NEW YORK NY,32.64,498.6,349.248
10000150,42372,Pink Cab,NEW YORK NY,28.84,465.87,299.936
10000151,42376,Pink Cab,NEW YORK NY,14.56,198.13,165.984
10000152,42372,Pink Cab,NEW YORK NY,34.2,648.53,352.26
10000153,42373,Pink Cab,NEW YORK NY,36.63,546.69,369.963
10000154,42376,Pink Cab,NEW YORK NY,31.05,458.87,344.655
10000155,42375,Pink Cab,NEW YORK NY,22.61,363.91,248.71
10000156,42376,Pink Cab,NEW YORK NY,20.06,296.45,230.69
10000157,42372,Pink Cab,ORANGE COUNTY,3.57,70.5,36.414
10000158,42372,Pink Cab,ORANGE COUNTY,7.42,148.13,80.136
10000159,42375,Pink Cab,ORANGE COUNTY,17.34,254.89,202.878
10000160,42379,Pink Cab,ORANGE COUNTY,5.7,87.43,67.26
10000161,42376,Pink Cab,ORANGE COUNTY,26.19,439.37,301.185
10000162,42379,Pink Cab,ORANGE COUNTY,3.51,54.4,35.802
10000163,42371,Pink Cab,PHOENIX AZ,4.44,71.57,48.84
10000164,42371,Pink Cab,PHOENIX AZ,8.55,114.15,89.775
10000165,42378,Pink Cab,PITTSBURGH PA,28.35,520.1,334.53
10000166,42374,Pink Cab,PITTSBURGH PA,12.65,198.92,150.535
10000167,42372,Pink Cab,SACRAMENTO CA,38.48,873.5,434.824
10000168,42379,Pink Cab,SACRAMENTO CA,12.43,210.5,129.272
10000169,42372,Pink Cab,SACRAMENTO CA,33.25,762.74,349.125
10000170,42372,Pink Cab,SAN DIEGO CA,10.8,230.34,115.56
10000171,42371,Pink Cab,SAN DIEGO CA,14.28,269.15,147.084
10000172,42379,Pink Cab,SAN DIEGO CA,30.16,507.56,334.776
10000173,42381,Pink Cab,SAN DIEGO CA,10.78,199.93,111.034
10000174,42379,Pink Cab,SAN DIEGO CA,25.07,443.42,260.728
10000175,42372,Pink Cab,SAN DIEGO CA,19.2,376.66,203.52
10000176,42375,Pink Cab,SAN DIEGO CA,6.54,103.32,73.902
10000177,42372,Pink Cab,SAN DIEGO CA,28.34,593.63,337.246
10000178,42372,Pink Cab,SAN DIEGO CA,28.62,508.18,334.854
10000179,42377,Pink Cab,SAN DIEGO CA,30.52,508.37,350.98
10000180,42374,Pink Cab,SAN DIEGO CA,43.29,676.48,471.861
10000181,42372,Pink Cab,SAN DIEGO CA,31.9,705.01,344.52
10000182,42371,Pink Cab,SAN DIEGO CA,2.36,47.89,23.6
10000183,42378,Pink Cab,SAN DIEGO CA,27,445.1,280.8
10000184,42375,Pink Cab,SAN DIEGO CA,17.76,320.23,186.48
10000185,42378,Pink Cab,SAN DIEGO CA,38.4,666.01,395.52
10000186,42372,Pink Cab,SAN DIEGO CA,27.44,535.67,290.864
10000187,42371,Pink Cab,SAN DIEGO CA,23.8,485.21,252.28
10000188,42379,Pink Cab,SAN DIEGO CA,22.23,393.19,222.3
10000189,42371,Pink Cab,SAN DIEGO CA,41.76,793.63,476.064
10000190,42374,Pink Cab,SAN DIEGO CA,29.97,478.63,305.694
10000191,42376,Pink Cab,SAN DIEGO CA,35,589.01,402.5
10000192,42379,Pink Cab,SAN DIEGO CA,7,109.39,74.2
10000193,42378,Pink Cab,SAN DIEGO CA,2.1,35.34,25.2
10000194,42372,Pink Cab,SAN DIEGO CA,39.22,760.11,447.108
10000195,42371,Pink Cab,SAN DIEGO CA,32.3,654.5,368.22
10000196,42375,Pink Cab,SAN DIEGO CA,40.68,705.55,427.14
10000197,42372,Pink Cab,SAN DIEGO CA,22.05,462.1,231.525
10000198,42378,Pink Cab,SAN DIEGO CA,22,340.01,239.8
10000199,42372,Pink Cab,SAN DIEGO CA,38.61,717.98,440.154
10000200,42377,Pink Cab,SAN DIEGO CA,6.42,113.55,67.41
10000201,42371,Pink Cab,SAN DIEGO CA,31.68,623.77,370.656
10000202,42379,Pink Cab,SAN DIEGO CA,15.9,264.85,174.9
10000343,42377,Pink Cab,SEATTLE WA,32.67,325.83,329.967
10000344,42372,Pink Cab,SEATTLE WA,31.36,361.61,323.008
10000345,42371,Pink Cab,SEATTLE WA,20.4,259.48,234.6
10000346,42376,Pink Cab,SEATTLE WA,38.76,367.05,453.492
10000347,42372,Pink Cab,SEATTLE WA,46,585.57,469.2
10000348,42379,Pink Cab,SEATTLE WA,14.95,149.1,156.975
10000349,42371,Pink Cab,SEATTLE WA,7.21,90.93,72.1
10000350,42379,Pink Cab,SEATTLE WA,2.16,22.2,25.272
10000351,42371,Pink Cab,SEATTLE WA,2.08,24.79,21.008
10000352,42372,Pink Cab,SEATTLE WA,15.15,189.65,174.225
10000353,42376,Pink Cab,SEATTLE WA,19.8,189.5,213.84
10000354,42376,Pink Cab,SEATTLE WA,23.04,208.9,264.96
10000355,42375,Pink Cab,SEATTLE WA,21.42,237.37,222.768
10000356,42371,Pink Cab,SEATTLE WA,14.95,171.47,171.925
10000357,42371,Pink Cab,SEATTLE WA,20.52,259.13,244.188
10000358,42376,Pink Cab,SILICON VALLEY,5,75.37,55.5
10000359,42377,Pink Cab,SILICON VALLEY,23.28,380.81,256.08
10000360,42372,Pink Cab,SILICON VALLEY,22.68,381.47,256.284
10000361,42372,Pink Cab,SILICON VALLEY,21,424.34,237.3
10000362,42375,Pink Cab,SILICON VALLEY,32.76,546.39,357.084
10000363,42379,Pink Cab,SILICON VALLEY,25.25,429.24,262.6
10000364,42372,Pink Cab,SILICON VALLEY,30.94,565.66,358.904
10000365,42371,Pink Cab,SILICON VALLEY,9,167.18,90
10000366,42376,Pink Cab,SILICON VALLEY,22.8,340.05,243.96
10000367,42376,Pink Cab,SILICON VALLEY,20.23,334.17,240.737
10000368,42372,Pink Cab,SILICON VALLEY,3.92,70.91,44.688
10000369,42372,Pink Cab,SILICON VALLEY,39.78,685.93,477.36
10000370,42371,Pink Cab,TUCSON AZ,5.4,94.49,58.32
10000371,42379,Pink Cab,TUCSON AZ,5.8,99.57,58.58
10000372,42372,Pink Cab,WASHINGTON DC,41.44,531.69,426.832
10000373,42379,Pink Cab,WASHINGTON DC,3.6,38.1,43.2
10000374,42372,Pink Cab,WASHINGTON DC,8.96,108.88,102.144
10000375,42371,Pink Cab,WASHINGTON DC,3.03,33.57,30.3
10000376,42372,Pink Cab,WASHINGTON DC,29.68,396.71,323.512
10000377,42372,Pink Cab,WASHINGTON DC,30.68,381.51,349.752
10000378,42374,Pink Cab,WASHINGTON DC,29.75,295.6,348.075
10000379,42371,Pink Cab,WASHINGTON DC,20.58,241.78,226.38
10000380,42376,Pink Cab,WASHINGTON DC,17.85,200.49,194.565
10000381,42377,Pink Cab,WASHINGTON DC,17.92,212.89,204.288
10000382,42377,Pink Cab,WASHINGTON DC,43.29,444.16,463.203
10000383,42371,Pink Cab,WASHINGTON DC,37.74,506.47,377.4
10000384,42371,Yellow Cab,ATLANTA GA,33.93,1341.17,464.1624
10000385,42378,Yellow Cab,ATLANTA GA,42.18,1412.06,516.2832
10000386,42372,Yellow Cab,ATLANTA GA,10.6,364.62,132.288
10000387,42375,Yellow Cab,ATLANTA GA,26.75,838,333.84
10000388,42376,Yellow Cab,ATLANTA GA,46.02,1540.61,596.4192
10000389,42376,Yellow Cab,ATLANTA GA,9.63,319.43,120.1824
10000390,42374,Yellow Cab,ATLANTA GA,36.3,1036.84,435.6
10000391,42378,Yellow Cab,ATLANTA GA,38.08,1239.72,539.2128
10000392,42371,Yellow Cab,ATLANTA GA,27.37,976.37,394.128
10000393,42372,Yellow Cab,ATLANTA GA,2.14,76.6,29.7888
10000394,42380,Yellow Cab,ATLANTA GA,15,483.73,198
10000395,42372,Yellow Cab,ATLANTA GA,11.44,360.49,142.7712
10000396,42372,Yellow Cab,ATLANTA GA,24.75,924.94,305.91
10000397,42377,Yellow Cab,ATLANTA GA,18.9,609.5,267.624
10000398,42371,Yellow Cab,ATLANTA GA,38.85,1430.64,545.454
10000399,42375,Yellow Cab,ATLANTA GA,18.81,618.15,243.7776
10000400,42376,Yellow Cab,ATLANTA GA,17.1,556.7,227.772
10000401,42378,Yellow Cab,ATLANTA GA,10.8,308.48,147.744
10000402,42371,Yellow Cab,ATLANTA GA,21.8,709.85,287.76
10000403,42376,Yellow Cab,ATLANTA GA,23.31,701.6,321.678
10000404,42372,Yellow Cab,ATLANTA GA,18.9,732.91,263.088
10000405,42375,Yellow Cab,ATLANTA GA,40.95,1157.08,530.712
10000406,42375,Yellow Cab,ATLANTA GA,11.88,361.22,151.1136
10000407,42380,Yellow Cab,ATLANTA GA,25.65,756.27,366.282
10000408,42372,Yellow Cab,AUSTIN TX,33.32,1050.1,411.8352
10000409,42375,Yellow Cab,AUSTIN TX,26.73,846.41,349.6284
10000410,42373,Yellow Cab,AUSTIN TX,15.82,464.51,220.2144
10000411,42372,Yellow Cab,AUSTIN TX,22.68,731.88,318.4272
10000412,42379,Yellow Cab,AUSTIN TX,33.33,978.64,451.9548
10000413,42381,Yellow Cab,BOSTON MA,19.04,330.16,267.3216
10000414,42379,Yellow Cab,BOSTON MA,31.2,620.74,438.048
10000415,42371,Yellow Cab,BOSTON MA,32.64,667.26,442.5984
10000416,42379,Yellow Cab,BOSTON MA,13.08,231.58,188.352
10000417,42380,Yellow Cab,BOSTON MA,29.7,558.37,416.988
10000418,42371,Yellow Cab,BOSTON MA,38.08,802.32,507.2256
10000419,42377,Yellow Cab,BOSTON MA,36.36,703.49,436.32
10000420,42378,Yellow Cab,BOSTON MA,14,281.09,171.36
10000421,42377,Yellow Cab,BOSTON MA,38.22,697.62,499.9176
10000422,42378,Yellow Cab,BOSTON MA,31.31,605.78,420.8064
10000423,42377,Yellow Cab,BOSTON MA,28.42,487.62,385.3752
10000424,42372,Yellow Cab,BOSTON MA,17.44,373.78,246.9504
10000425,42372,Yellow Cab,BOSTON MA,19.04,400.91,253.6128
10000426,42378,Yellow Cab,BOSTON MA,6.24,119.59,89.1072
10000427,42375,Yellow Cab,BOSTON MA,2.16,39.03,26.9568
10000428,42378,Yellow Cab,BOSTON MA,41.76,769.86,591.3216
10000429,42371,Yellow Cab,BOSTON MA,15.15,342.62,205.434
10000430,42380,Yellow Cab,BOSTON MA,39.59,794.89,551.0928
10000431,42372,Yellow Cab,BOSTON MA,10.44,249.25,150.336
10000432,42375,Yellow Cab,BOSTON MA,22.54,390.85,302.9376
10000433,42372,Yellow Cab,BOSTON MA,6.3,130.08,83.916
10000434,42371,Yellow Cab,BOSTON MA,45.24,971.09,564.5952
10000435,42372,Yellow Cab,BOSTON MA,25.48,588.33,345.5088
10000436,42377,Yellow Cab,BOSTON MA,18,328.55,241.92
10000437,42372,Yellow Cab,BOSTON MA,43.29,908.69,524.6748
10000438,42380,Yellow Cab,BOSTON MA,16.1,267.42,195.132
10000439,42375,Yellow Cab,BOSTON MA,20.71,389.36,295.7388
10000440,42376,Yellow Cab,BOSTON MA,46.41,770.87,584.766
10000441,42371,Yellow Cab,BOSTON MA,13.26,289.18,159.12
10000442,42373,Yellow Cab,BOSTON MA,17.12,306.24,219.8208
10000443,42372,Yellow Cab,BOSTON MA,2.88,58.93,39.3984
10000444,42371,Yellow Cab,BOSTON MA,29.45,659.68,413.478
10000445,42378,Yellow Cab,BOSTON MA,21.56,409.27,294.9408
10000446,42372,Yellow Cab,BOSTON MA,20.16,412.5,273.3696
10000447,42376,Yellow Cab,BOSTON MA,30.24,518.85,402.7968
10000448,42378,Yellow Cab,BOSTON MA,38,721.35,515.28
10000449,42379,Yellow Cab,BOSTON MA,29.25,587.28,393.12
10000450,42378,Yellow Cab,BOSTON MA,40.8,796.84,499.392
10000451,42378,Yellow Cab,BOSTON MA,13.52,256.65,168.7296
10000452,42378,Yellow Cab,BOSTON MA,20.4,383.53,266.832
10000453,42375,Yellow Cab,BOSTON MA,22,433.69,271.92
10000454,42371,Yellow Cab,BOSTON MA,7.91,171.81,106.3104
10000455,42379,Yellow Cab,BOSTON MA,9.9,196.97,130.68
10000456,42375,Yellow Cab,BOSTON MA,24.72,433.16,299.6064
10000457,42378,Yellow Cab,BOSTON MA,40.8,670.24,528.768
10000458,42381,Yellow Cab,BOSTON MA,40.25,690.59,560.28
10000459,42372,Yellow Cab,BOSTON MA,23.1,523.68,291.06
10000460,42376,Yellow Cab,BOSTON MA,37.29,633,451.9548
10000461,42371,Yellow Cab,BOSTON MA,34.68,691.24,491.0688
10000462,42380,Yellow Cab,BOSTON MA,23,461.8,303.6
10000463,42377,Yellow Cab,BOSTON MA,3.03,55.86,41.0868
10000464,42380,Yellow Cab,BOSTON MA,9.5,189.01,126.54
10000465,42372,Yellow Cab,BOSTON MA,26.18,573.43,355.0008
10000466,42376,Yellow Cab,BOSTON MA,11.5,203.61,144.9
10000467,42378,Yellow Cab,BOSTON MA,19.98,397.51,258.9408
10000468,42371,Yellow Cab,CHICAGO IL,27.3,583.42,383.292
10000469,42372,Yellow Cab,CHICAGO IL,11.3,261.9,150.516
10000470,42372,Yellow Cab,CHICAGO IL,16.16,352.9,215.2512
10000471,42373,Yellow Cab,CHICAGO IL,34.68,664.33,499.392
10000472,42372,Yellow Cab,CHICAGO IL,35.64,847.57,470.448
10000473,42374,Yellow Cab,CHICAGO IL,40.8,773.42,533.664
10000474,42372,Yellow Cab,CHICAGO IL,13.68,270.24,175.6512
10000475,42372,Yellow Cab,CHICAGO IL,19.38,470.01,241.8624
10000476,42375,Yellow Cab,CHICAGO IL,32.4,614.19,427.68
10000477,42375,Yellow Cab,CHICAGO IL,39,754.86,547.56
10000478,42375,Yellow Cab,CHICAGO IL,33.66,604.49,464.508
10000479,42371,Yellow Cab,CHICAGO IL,29,659.68,358.44
10000480,42380,Yellow Cab,CHICAGO IL,35.31,718.67,466.092
10000481,42371,Yellow Cab,CHICAGO IL,5.35,126.57,68.052
10000482,42375,Yellow Cab,CHICAGO IL,27.55,582.72,337.212
10000483,42371,Yellow Cab,CHICAGO IL,17.55,427.59,223.236
10000484,42375,Yellow Cab,CHICAGO IL,23.76,497.82,322.1856
10000485,42372,Yellow Cab,CHICAGO IL,9.45,194.3,129.276
10000486,42371,Yellow Cab,CHICAGO IL,41.8,944.35,526.68
10000487,42380,Yellow Cab,CHICAGO IL,34.24,744.72,456.0768
10000488,42371,Yellow Cab,CHICAGO IL,4.6,102.9,65.688
10000489,42375,Yellow Cab,CHICAGO IL,35.2,709.41,502.656
10000490,42371,Yellow Cab,CHICAGO IL,29.5,625.14,368.16
10000491,42380,Yellow Cab,CHICAGO IL,17.12,365.53,221.8752
10000492,42371,Yellow Cab,CHICAGO IL,36,883.93,492.48
10000493,42377,Yellow Cab,CHICAGO IL,2.22,41.64,30.636
10000494,42372,Yellow Cab,CHICAGO IL,13.92,298.98,167.04
10000495,42376,Yellow Cab,CHICAGO IL,29.12,615.93,380.8896
10000496,42375,Yellow Cab,CHICAGO IL,4.6,84.45,55.752
10000497,42375,Yellow Cab,CHICAGO IL,16.05,342.68,204.156
10000498,42375,Yellow Cab,CHICAGO IL,32.64,716.43,419.0976
10000499,42375,Yellow Cab,CHICAGO IL,18.62,352.97,254.7216
10000500,42377,Yellow Cab,CHICAGO IL,10.45,191.84,142.956
10000501,42376,Yellow Cab,CHICAGO IL,9.18,194.17,129.9888
10000502,42373,Yellow Cab,CHICAGO IL,6.42,137.07,89.3664
10000503,42372,Yellow Cab,CHICAGO IL,18.54,417.3,266.976
10000504,42377,Yellow Cab,CHICAGO IL,3.21,64.69,43.1424
10000505,42374,Yellow Cab,CHICAGO IL,44.46,798.44,560.196
10000506,42378,Yellow Cab,CHICAGO IL,15.3,317.51,183.6
10000507,42375,Yellow Cab,CHICAGO IL,4.52,99.21,61.2912
10000508,42373,Yellow Cab,CHICAGO IL,14.28,313.44,178.2144
10000509,42379,Yellow Cab,CHICAGO IL,9.6,197.31,120.96
10000510,42374,Yellow Cab,CHICAGO IL,36.04,711.96,501.6768
10000511,42371,Yellow Cab,CHICAGO IL,24.48,617.24,331.9488
10000512,42372,Yellow Cab,CHICAGO IL,26.4,659.49,342.144
10000513,42376,Yellow Cab,CHICAGO IL,27.72,497.82,382.536
10000514,42379,Yellow Cab,CHICAGO IL,4.12,77.28,56.856
10000515,42380,Yellow Cab,CHICAGO IL,28.35,509.13,357.21
10000516,42371,Yellow Cab,CHICAGO IL,4.72,105.79,62.8704
10000517,42380,Yellow Cab,CHICAGO IL,4.72,86.65,60.6048
10000518,42376,Yellow Cab,CHICAGO IL,33.06,719.05,472.0968
10000519,42371,Yellow Cab,CHICAGO IL,13.92,327.23,185.4144
10000520,42376,Yellow Cab,CHICAGO IL,18.53,347.56,222.36
10000521,42375,Yellow Cab,CHICAGO IL,39.2,743.09,512.736
10000522,42378,Yellow Cab,CHICAGO IL,39.55,773.4,484.092
10000523,42378,Yellow Cab,CHICAGO IL,15.26,322.77,192.276
10000524,42377,Yellow Cab,CHICAGO IL,35.35,761.81,462.378
10000525,42371,Yellow Cab,CHICAGO IL,2.18,51.47,26.4216
10000526,42371,Yellow Cab,CHICAGO IL,16.8,397.98,205.632
10000527,42375,Yellow Cab,CHICAGO IL,19.38,375.11,239.5368
10000528,42371,Yellow Cab,CHICAGO IL,34.56,746.85,427.1616
10000529,42372,Yellow Cab,CHICAGO IL,38.85,798.78,475.524
10000530,42376,Yellow Cab,CHICAGO IL,6.79,126,84.7392
10000531,42376,Yellow Cab,CHICAGO IL,19.95,414.01,282.492
10000532,42376,Yellow Cab,CHICAGO IL,26.22,575.52,333.5184
10000533,42379,Yellow Cab,CHICAGO IL,28.42,538.74,361.5024
10000534,42376,Yellow Cab,CHICAGO IL,19.8,422.75,242.352
10000535,42377,Yellow Cab,CHICAGO IL,32.2,610.4,386.4
10000536,42377,Yellow Cab,CHICAGO IL,22.6,446.45,273.912
10000537,42380,Yellow Cab,CHICAGO IL,8.4,152.53,111.888
10000538,42378,Yellow Cab,CHICAGO IL,21.28,441.61,280.896
